country,2010,2011,2012,2013,2014,2015,total
Afghanistan,12246700,12600600,14045800,13291700,13384900,13765400,79335100
Albania,22,0,0,0,0,0,22
Algeria,10260,11831,7471,6482,5460,7561,49065
Andorra,0,0,0,0,0,0,0
Angola,15879200,16066300,16421300,17149900,17666900,18534200,101717800
Antigua and Barbuda,134,133,117,1360,1358,158,3260
Argentina,953102,952894,938732,406,464,634,2846232
Armenia,41986,42243,42437,38697,38894,39044,243301
Australia,89732,72560,60279,144692,54311,17476,439050
Austria,21,7,5,11,14,8,66
Azerbaijan,1080370,1087130,1010920,345496,1678320,1699960,6902196
Bahamas,8,7000,5,3,146,4127,11289
Bahrain,3,4,0,0,0,6,13
Bangladesh,102280000,103329000,99041000,80102800,49867100,49839500,484459400
Barbados,2917,746,1445,2848,2689,97,10742
Belarus,0,2,0,0,0,0,2
Belgium,1,1,6,15,15,6,44
Belize,10456,10471,10514,7565,7062,7300,53368
Benin,7239210,7706960,6277770,6618720,4358050,7029350,39230060
Bhutan,69529,69283,69535,108115,107846,227111,651419
Bolivia,3340920,3354780,3361580,2124920,2126890,1883580,16192670
Bosnia and Herzegovina,1,0,0,1,0,0,2
Botswana,264669,266032,268521,251555,252333,257169,1560279
Brazil,27000000,13137600,13260400,12001900,11528100,11067300,87995300
Brunei Darussalam,15000,15000,15000,15000,9239,9239,78478
Bulgaria,295,310,322,278,302,313,1820
Burkina Faso,17860400,19099700,19229700,15740600,14959700,11658600,98548700
Burundi,4018580,4076020,4101920,5142500,5332370,5601300,28272690
Côte d'Ivoire,17858800,18024900,17470700,19946500,18127700,18738400,110167000
Cabo Verde,170442,169326,142687,136960,135058,136792,891265
Cambodia,4533100,4517040,4134230,4347930,5550420,5610240,28692960
Cameroon,19286200,19339400,19647100,20442800,19433400,20630100,118779000
Canada,0,0,0,0,0,0,0
Central African Republic,3987860,4013320,4005820,4019440,4048940,4096090,24171470
Chad,9620370,9741520,9738240,10313300,10471500,10688200,60573130
Chile,132541,131544,125478,39,30,7,389639
China,52000000,25548100,25663100,25822200,25974600,26100600,181108600
Colombia,4921130,4924260,4722870,4722560,4410050,3846510,27547380
Comoros,517852,518985,524706,521439,522782,525978,3131742
Republic of the Congo,3223010,3249180,3404680,3523380,3567580,1346330,18314160
Cook Islands,0,0,0,0,946,765,1711
Costa Rica,51178,50827,49995,51844,28942,11684,244470
Croatia,0,1,15,22,20,11,69
Cuba,167722,164093,162007,55804,50265,43862,643753
Cyprus,1,3,5,0,0,2,11
Czech Republic,5,0,0,2,6,3,16
Dem. Rep. Korea,1949630,1911880,2076930,908349,5643100,6082190,18572079
Democratic Republic of the Congo,60983300,61690600,61568600,60606500,57543000,52564700,354956700
Denmark,0,0,0,0,0,0,0
Djibouti,127766,128196,131879,105768,107378,108810,709797
Dominica,3121,3080,2723,7949,7879,7546,32298
Dominican Republic,1193530,1365510,1303780,1306120,1183940,989731,7342611
Ecuador,340067,318717,321415,193708,1789320,1943930,4907157
Egypt,24000000,24000000,24000000,32563200,62111,1640560,106265871
El Salvador,242858,238045,233387,849969,821068,702992,3088319
Equatorial Guinea,461503,462546,463562,464044,465031,466357,2783043
Eritrea,3577000,3577000,3577000,3577000,557635,1441260,16306895
Estonia,0,0,3,3,1,0,7
Ethiopia,67362900,68844900,70359500,71907400,73489400,75106200,427070300
Fiji,879985,529984,637852,277616,892573,898821,4116831
Finland,1,1,3,4,0,2,11
France,46,77,63,46,51,48,331
Gabon,1444090,1451760,1462560,1520920,1534600,1560170,8974100
The Gambia,1200000,1200000,1200000,1200000,1200000,171850,6171850
Georgia,147,130,114,135,60,65,651
Germany,117,146,119,132,127,147,788
Ghana,12030100,12255000,12030100,10626500,18678700,15536900,81157300
Greece,41,60,71,87,13,13,285
Grenada,878,873,896,156,39,11,2853
Guatemala,2718790,3298740,3216910,3205690,3234780,3321450,18996360
Guinea,8203060,8303990,8268060,8735880,8839060,9213210,51563260
